order,floor,floor,roomsize_sqm,dt bts_km,carpark_room,finess,poor,dt_shopping_km,dt_expressway_km,gard,keycard,cctv,face_recog,central_value,bedroom,bathroom,gift_value,land_value_baht_wa
1,5,8,26,2.8,1,1,0,2.5,15,1,1,1,0,12000,1,1,12000,250000
2,6,8,26,0.8,0.3,1,0,4,1,1,1,1,0,24000,1,1,40000,111000
3,5,10,43,10,1,1,0,15,4,1,1,1,0,24000,1,1,30000,120000
4,17,34,35,0.1,1,1,0,0.1,1,1,1,1,1,12000,1,1,30000,100000
5,6,7,41,1,1,1,0,1,2,1,1,1,1,24000,1,1,20000,140000
6,8,26,34,0.24,1,1,0,0.15,7.4,1,1,1,0,16320,1,1,150000,200000
7,3,8,45,0.36,1,1,0,0.4,1.7,1,1,1,0,19440,1,1,150000,250000
8,17,30,83,1.3,0.8,1,0,3.4,1,1,0,1,0,39480,2,2,370000,84668
9,12,22,37,0.35,0.6,1,0,1.3,7,0,0,1,0,22200,1,1,0,128000
10,4,8,22.56,4.8,0.8,1,0,4.2,18,0,0,1,0,9432,1,1,0,52000
11,8,30,33,1.1,0.8,1,0,0.9,7.9,1,0,1,0,12276,1,1,0,69697
12,28,30,28.5,0.5,0.8,1,0,5.9,0,0,1,1,0,15660,1,1,0,94178
13,8,8,28.46,2.7,1,1,0,2.9,8.5,1,1,1,0,10245,1,1,1460000,100000
14,2,22,27,2.2,1,1,0,2,5.3,1,0,1,0,24000,1,1,2900000,100000
15,10,22,34,2.1,1,1,0,2,5.3,1,0,1,0,18360,1,1,4491000,100000
16,22,22,63,2.1,2,1,0,2,5.3,1,0,1,0,36000,1,1,6500000,100000
17,11,33,34.5,6.7,1,1,0,1,6.7,1,1,0,0,15000,1,1,2900000,120000
18,6,33,51,6.7,2,1,0,1,10,1,1,0,0,15000,2,1,3978400,120000
19,8,8,27,1,1,1,0,1.5,13,1,1,1,0,12312,1,1,1500000,170000
20,5,8,30.5,1,1,1,0,1.5,13,1,1,1,0,13908,1,1,1960000,170000
21,11,24,24.5,9.8,1,1,0,1.7,12.6,1,1,1,0,12000,1,1,1290000,170000
22,7,18,27,20,0.8,1,0,0.8,6.4,1,1,1,0,4000,1,1,70000,100000
23,1,8,34,2,1,1,0,3,8,1,1,1,0,12000,1,1,200000,120000
24,7,30,27.8,1.3,0.46,1,0,1.5,10.2,1,1,1,0,18348,1,1,400000,103900
25,3,8,22,1.1,0.8,1,0,3.8,4.8,1,1,1,0,12000,3,1,0,79090
26,4,8,23,0.3,0.8,1,0,1.5,5.4,1,1,1,0,12000,1,1,0,73600
27,10,26,23,0.3,0.8,1,0,0.1,14.7,1,1,1,0,9660,1,1,0,85000
28,3,8,26.5,2.3,0.8,1,0,0.9,5.1,1,1,1,0,18132,1,1,0,86000
29,3,8,32,4.2,0,1,0,2.1,7,1,1,1,0,17600,1,1,100000,90000
30,9,21,33,0.1,0.47,1,0,1.3,6.5,1,1,1,0,17820,2,2,100000,85000
31,10,30,35,0.35,0.52,1,0,1.5,2.6,1,1,1,0,17820,1,1,100000,145000
32,5,8,28,7,0.48,1,0,5,1,1,1,1,0,17820,1,1,0,100000
33,5,21,26,0.55,0.35,1,0,3,7.7,1,1,1,0,10140,1,1,150000,175000
